City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,Leningradskiy,69.3833,178.4167,13.19,95,100,8.66,RU,2021-11-15 01:12:03
194,Qaanaaq,77.484,-69.3632,-10.91,58,7,9.8,GL,2021-11-15 01:12:03
195,Longyearbyen,78.2186,15.6401,13.84,57,20,3.44,SJ,2021-11-15 01:12:03
196,Santona,43.4439,-3.4576,56.07,83,41,6.2,ES,2021-11-15 01:12:04
197,Faya,18.3851,42.4509,54.12,72,1,2.33,SA,2021-11-15 01:12:04
198,Kolokani,13.5728,-8.0339,73.99,29,35,8.77,ML,2021-11-15 01:12:05
199,Brooks,50.5834,-111.8851,40.03,84,100,8.55,CA,2021-11-15 01:12:05
200,Pampierstad,-27.7832,24.6877,70.32,25,1,5.86,ZA,2021-11-15 01:12:06
201,Tiksi,71.6872,128.8694,-14.28,98,42,7.02,RU,2021-11-15 01:12:06
202,Trelew,-43.249,-65.3051,59.5,35,100,8.63,AR,2021-11-15 01:10:43
203,Dingle,10.9995,122.6711,82.49,81,100,8.86,PH,2021-11-15 01:12:07
204,Zaozerne,45.1582,33.2787,47.95,84,100,12.46,UA,2021-11-15 01:12:07
205,Cidreira,-30.1811,-50.2056,68.5,85,100,20.02,BR,2021-11-15 01:12:08
206,Eyl,7.9803,49.8164,74.95,77,71,8.14,SO,2021-11-15 01:12:08
207,Korla,41.7597,86.1469,30.51,49,73,4.29,CN,2021-11-15 01:12:08
208,Ranipur,27.2879,68.5051,66.88,16,0,8.81,PK,2021-11-15 01:12:09
209,Bathsheba,13.2167,-59.5167,81.21,74,75,19.57,BB,2021-11-15 01:12:09
210,Beira,-19.8436,34.8389,76.14,94,54,3.06,MZ,2021-11-15 01:12:10
211,Carutapera,-1.195,-46.02,77.77,86,100,6.17,BR,2021-11-15 01:12:10
212,Codrington,-38.2667,141.9667,53.08,55,88,18.61,AU,2021-11-15 01:12:11
213,Touros,-5.1989,-35.4608,79.7,78,12,13.42,BR,2021-11-15 01:12:11
214,Ponta Delgada,37.7333,-25.6667,67.5,82,20,13.8,PT,2021-11-15 01:12:12
215,Benguela,-12.5763,13.4055,77.79,81,100,5.5,AO,2021-11-15 01:12:12
216,Oussouye,12.485,-16.5469,77.68,72,78,3.13,SN,2021-11-15 01:12:13
217,Dali,25.7,100.1833,52.83,82,1,3.42,CN,2021-11-15 01:12:13
218,Skibbereen,51.55,-9.2667,55.2,98,100,7.0,IE,2021-11-15 01:12:14
219,Santa Barbara,34.7333,-120.0343,73.24,32,1,4.61,US,2021-11-15 01:07:17
220,Saguing,6.9803,125.0781,80.08,85,93,1.83,PH,2021-11-15 01:12:15
221,Diu,20.7141,70.9822,72.09,42,100,11.54,IN,2021-11-15 01:12:15
222,Gamboula,4.1178,15.1393,68.22,97,87,1.43,CF,2021-11-15 01:12:16
223,Labuhan,-6.8844,112.2051,77.61,86,100,3.53,ID,2021-11-15 01:12:16
224,Severo-Kurilsk,50.6789,156.125,43.29,93,100,19.62,RU,2021-11-15 01:08:58
225,Quelimane,-17.8786,36.8883,77.77,90,85,6.64,MZ,2021-11-15 01:12:17
226,Carnarvon,-24.8667,113.6333,73.81,57,0,9.44,AU,2021-11-15 01:12:17
227,Tarko-Sale,64.9225,77.785,-12.23,100,74,6.53,RU,2021-11-15 01:13:18
228,Axim,4.8699,-2.2405,78.91,86,46,6.93,GH,2021-11-15 01:13:18
229,Jurilovca,44.7667,28.8667,50.63,84,100,10.78,RO,2021-11-15 01:13:19
230,Pericos,25.05,-107.7,82.31,55,0,3.11,MX,2021-11-15 01:13:19
231,Tiarei,-17.5333,-149.3333,84.0,73,100,1.77,PF,2021-11-15 01:13:20
232,Lodja,-3.4833,23.4333,65.82,97,78,0.85,CD,2021-11-15 01:13:20
233,Nanortalik,60.1432,-45.2371,18.77,64,0,35.81,GL,2021-11-15 01:13:20
234,Feijo,-8.1642,-70.3536,76.68,81,100,2.82,BR,2021-11-15 01:13:21
235,Redlands,34.0556,-117.1825,82.62,24,0,1.01,US,2021-11-15 01:13:22
236,Juazeiro,-9.4117,-40.4986,80.26,56,36,20.07,BR,2021-11-15 01:13:22
237,Waw,7.7029,27.9953,81.32,52,96,2.53,SS,2021-11-15 01:13:23
238,Shenkursk,62.1091,42.896,23.22,88,22,7.58,RU,2021-11-15 01:13:23
239,Mareeba,-17.0,145.4333,84.43,72,100,8.43,AU,2021-11-15 01:13:23
240,College,64.8569,-147.8028,-0.74,78,75,0.0,US,2021-11-15 01:13:24
241,Wadi Maliz,36.4681,8.5495,56.79,84,100,1.66,TN,2021-11-15 01:13:24
242,Los Llanos De Aridane,28.6585,-17.9182,64.15,73,40,5.01,ES,2021-11-15 01:13:25
243,Csanadpalota,46.25,20.7333,33.98,70,100,6.13,HU,2021-11-15 01:13:25
244,Ano Mera,37.45,25.4,60.87,72,98,12.01,GR,2021-11-15 01:13:26
245,Kusti,13.1629,32.6635,77.05,15,2,9.73,SD,2021-11-15 01:09:08
246,Havelock,34.8791,-76.9013,61.95,85,1,6.73,US,2021-11-15 01:13:28
247,Hamada,34.8833,132.0833,63.0,65,76,6.26,JP,2021-11-15 01:13:28
248,Brae,60.3964,-1.353,49.91,96,100,14.63,GB,2021-11-15 01:13:29
249,Khovu-Aksy,51.1333,93.6,20.12,81,100,5.73,RU,2021-11-15 01:13:29
250,Conde,-7.2597,-34.9075,78.26,83,20,5.75,BR,2021-11-15 01:13:30
251,Santo Tomas,14.1079,121.1414,87.57,70,86,7.99,PH,2021-11-15 01:13:30
252,Dandong,40.1292,124.3947,41.36,61,3,7.36,CN,2021-11-15 01:13:31
253,Makarov,48.6333,142.8,35.01,61,67,7.83,RU,2021-11-15 01:13:31
254,Warrnambool,-38.3833,142.4833,51.22,62,100,18.59,AU,2021-11-15 01:13:31
255,Innisfail,-17.5333,146.0333,85.87,73,80,8.55,AU,2021-11-15 01:13:32
256,Ixtapa,20.7,-105.2,81.63,69,1,4.61,MX,2021-11-15 01:13:33
257,Pisco,-13.7,-76.2167,64.45,82,0,12.66,PE,2021-11-15 01:13:33
258,Nishihara,26.1842,127.7558,73.06,64,40,12.66,JP,2021-11-15 01:13:33
259,Harper,4.375,-7.7169,77.99,86,16,6.11,LR,2021-11-15 01:13:34
260,Ust-Ilimsk,58.0006,102.6619,26.67,96,100,6.64,RU,2021-11-15 01:13:34
261,Sao Joao Da Barra,-21.6403,-41.0511,69.39,70,50,7.99,BR,2021-11-15 01:13:35
262,Panzhihua,26.5851,101.7128,60.62,85,10,1.03,CN,2021-11-15 01:13:35
263,Tura,25.5198,90.2201,60.26,84,0,3.6,IN,2021-11-15 01:13:36
264,Kalmunai,7.4167,81.8167,78.12,84,23,2.89,LK,2021-11-15 01:13:36
265,Ouadda,8.0777,22.4007,74.25,67,57,2.28,CF,2021-11-15 01:13:36
266,Palmer,42.1584,-72.3287,44.42,68,90,5.75,US,2021-11-15 01:13:37
267,Matara,5.9485,80.5353,77.72,89,37,9.95,LK,2021-11-15 01:13:37
268,Nogliki,51.8333,143.1667,26.2,61,70,12.35,RU,2021-11-15 01:13:38
269,Iracoubo,5.4802,-53.2011,79.65,81,94,9.91,GF,2021-11-15 01:13:38
270,Altamira,-3.2033,-52.2064,75.88,91,100,1.88,BR,2021-11-15 01:13:39
271,Sokoto,13.0609,5.239,79.77,16,100,5.93,NG,2021-11-15 01:13:39
272,Lavrentiya,65.5833,-171.0,13.68,93,90,6.08,RU,2021-11-15 01:14:40
273,Broken Hill,-31.95,141.4333,61.47,38,0,15.19,AU,2021-11-15 01:14:40
274,Katsuura,35.1333,140.3,62.71,64,7,7.76,JP,2021-11-15 01:14:40
275,Shahr-E Kord,32.3256,50.8644,41.95,48,100,2.39,IR,2021-11-15 01:14:41
276,Rocha,-34.4833,-54.3333,56.12,84,0,1.81,UY,2021-11-15 01:14:41
277,Olafsvik,64.8945,-23.7142,39.18,69,100,36.71,IS,2021-11-15 01:14:42
278,Alyangula,-13.8483,136.4192,87.06,41,100,16.64,AU,2021-11-15 01:14:42
279,Banamba,13.55,-7.45,74.52,28,29,7.92,ML,2021-11-15 01:14:43
280,Strezhevoy,60.7333,77.5889,-9.42,99,80,4.72,RU,2021-11-15 01:14:43
281,Dire Dawa,9.5931,41.8661,66.4,45,6,5.44,ET,2021-11-15 01:14:44
282,Emerald,-23.5333,148.1667,82.35,22,0,7.99,AU,2021-11-15 01:14:14
283,Hay River,60.8156,-115.7999,15.44,90,98,6.91,CA,2021-11-15 01:14:44
284,Namatanai,-3.6667,152.4333,84.58,71,97,7.27,PG,2021-11-15 01:14:45
285,Meadow Lake,34.8014,-106.5436,61.68,34,93,2.75,US,2021-11-15 01:14:45
286,Anadyr,64.75,177.4833,30.7,93,90,15.66,RU,2021-11-15 01:14:46
287,Nelson Bay,-32.7167,152.15,72.28,40,0,4.0,AU,2021-11-15 01:14:46
288,Te Anau,-45.4167,167.7167,58.53,55,100,7.67,NZ,2021-11-15 01:14:46
289,Tuktoyaktuk,69.4541,-133.0374,12.74,95,100,7.67,CA,2021-11-15 01:14:47
290,Opuwo,-18.0607,13.84,74.39,51,100,5.26,NA,2021-11-15 01:14:48
291,Sumenep,-7.0167,113.8667,79.88,81,100,3.04,ID,2021-11-15 01:14:50
292,Ushtobe,45.2514,77.9838,40.37,76,100,21.12,KZ,2021-11-15 01:14:50
293,Itarema,-2.9248,-39.9167,80.38,81,73,11.74,BR,2021-11-15 01:14:51
294,Novo Aripuana,-5.1206,-60.3797,76.62,91,100,1.83,BR,2021-11-15 01:14:51
295,Saskylakh,71.9167,114.0833,-5.37,91,100,7.0,RU,2021-11-15 01:14:52
296,Russell,32.3502,-85.1999,52.83,75,1,3.44,US,2021-11-15 01:14:52
297,Kawalu,-7.3817,108.2082,76.98,85,100,1.83,ID,2021-11-15 01:14:53
298,Pafos,34.7667,32.4167,66.11,45,100,6.91,CY,2021-11-15 01:14:53
299,Jacareacanga,-6.2222,-57.7528,79.23,78,100,2.35,BR,2021-11-15 01:14:54
300,Kysyl-Syr,63.8986,122.7617,-8.86,99,91,4.0,RU,2021-11-15 01:14:54
301,Tigil,57.8,158.6667,27.21,86,74,9.08,RU,2021-11-15 01:14:55
302,Tulle,45.3333,1.8333,43.99,91,76,4.72,FR,2021-11-15 01:14:55
303,Aswan,24.0934,32.907,73.85,47,0,8.9,EG,2021-11-15 01:14:55
304,Arrifes,37.7667,-25.7,65.23,82,20,13.8,PT,2021-11-15 01:14:56
305,Birao,10.2849,22.7882,74.41,26,0,4.74,CF,2021-11-15 01:14:56
306,Lagoa,39.05,-27.9833,66.87,85,98,25.81,PT,2021-11-15 01:14:57
307,Acapulco,16.8634,-99.8901,80.42,74,1,4.61,MX,2021-11-15 01:10:07
308,Bosaso,11.2842,49.1816,74.95,73,13,0.58,SO,2021-11-15 01:14:58
309,Marystown,47.1666,-55.1483,48.85,100,95,7.0,CA,2021-11-15 01:14:58
310,Deputatskiy,69.3,139.9,-16.29,97,100,4.14,RU,2021-11-15 01:14:59
311,Hambantota,6.1241,81.1185,79.32,81,14,15.23,LK,2021-11-15 01:14:59
312,Ginir,7.1333,40.7,54.43,76,18,4.92,ET,2021-11-15 01:15:00
313,Ranong,9.9658,98.6348,78.01,90,100,4.83,TH,2021-11-15 01:15:00
314,Pailon,-17.65,-62.75,78.53,75,100,3.89,BO,2021-11-15 01:11:11
315,Kloulklubed,7.0419,134.2556,84.7,74,26,7.83,PW,2021-11-15 01:15:01
316,Puma,-5.0,34.7333,64.11,72,80,10.94,TZ,2021-11-15 01:16:02
317,Kungurtug,50.5994,97.5228,14.76,85,100,2.08,RU,2021-11-15 01:16:02
318,Khatanga,71.9667,102.5,-0.96,98,100,3.65,RU,2021-11-15 01:16:03
319,Nome,64.5011,-165.4064,19.47,86,90,0.0,US,2021-11-15 01:16:03
320,Aras,42.5617,-2.356,45.32,76,40,8.05,ES,2021-11-15 01:16:03
321,Sorland,67.667,12.6934,44.96,88,100,46.51,NO,2021-11-15 01:16:04
322,Taltal,-25.4,-70.4833,60.78,80,34,2.89,CL,2021-11-15 01:16:04
323,Rio Gallegos,-51.6226,-69.2181,42.85,42,0,25.32,AR,2021-11-15 01:16:05
324,Corn Island,12.1694,-83.0418,82.4,77,66,16.49,NI,2021-11-15 01:16:05
325,Sonoita,31.85,-112.8333,79.54,13,0,5.39,MX,2021-11-15 01:16:06
326,Katangli,51.7102,143.2326,26.17,63,64,11.21,RU,2021-11-15 01:16:06
327,Bima,-8.4667,118.7167,83.19,75,99,1.83,ID,2021-11-15 01:16:07
328,Bongor,10.2806,15.3722,80.82,27,15,6.2,TD,2021-11-15 01:16:07
329,Springbok,-29.6643,17.8865,69.01,36,61,4.23,ZA,2021-11-15 01:16:08
330,Vanavara,60.34,102.2797,15.37,98,97,3.89,RU,2021-11-15 01:16:08
331,Valparaiso,-33.0393,-71.6273,56.84,54,0,6.91,CL,2021-11-15 01:13:47
332,Sembe,1.6481,14.5806,68.49,97,82,2.15,CG,2021-11-15 01:11:18
333,Gornozavodsk,58.3758,58.3211,3.85,99,100,1.19,RU,2021-11-15 01:16:09
334,Salalah,17.0151,54.0924,71.69,56,0,3.44,OM,2021-11-15 01:16:09
335,Hamburg,53.55,10.0,46.06,85,90,12.66,DE,2021-11-15 01:15:30
336,Meiganga,6.5167,14.3,69.3,83,96,1.05,CM,2021-11-15 01:16:10
337,Puerto Madero,14.7208,-92.4215,77.2,100,1,3.44,MX,2021-11-15 01:16:10
338,Mount Isa,-20.7333,139.5,80.37,19,0,14.97,AU,2021-11-15 01:16:11
339,San Quintin,30.4833,-115.95,68.61,51,0,7.78,MX,2021-11-15 01:16:11
340,Neuquen,-38.9516,-68.0591,66.09,42,0,2.3,AR,2021-11-15 01:12:02
341,Ola,59.5833,151.2833,32.14,92,100,6.4,RU,2021-11-15 01:16:12
342,Sete,43.4018,3.6966,51.66,63,100,11.52,FR,2021-11-15 01:16:12
343,Lezajsk,50.2626,22.4193,39.65,95,54,1.01,PL,2021-11-15 01:16:13
344,Inuvik,68.3499,-133.7218,7.66,85,75,2.3,CA,2021-11-15 01:16:13
345,Camacha,33.0833,-16.3333,63.82,72,40,8.05,PT,2021-11-15 01:16:14
346,Channel-Port Aux Basques,47.5702,-59.1367,44.15,83,100,34.56,CA,2021-11-15 01:16:14
347,Amga,60.8953,131.9608,-10.64,97,70,1.43,RU,2021-11-15 01:16:15
348,Muros,42.7762,-9.0603,54.09,82,2,11.99,ES,2021-11-15 01:16:15
349,Arvika,59.6553,12.5852,38.01,85,100,5.99,SE,2021-11-15 01:16:16
350,Katobu,-4.9408,122.5276,81.55,81,100,2.93,ID,2021-11-15 01:16:16
351,Maningrida,-12.0667,134.2667,90.14,29,100,13.58,AU,2021-11-15 01:16:16
352,Muscatine,41.4667,-91.1335,35.19,55,90,1.01,US,2021-11-15 01:16:17
353,Bambous Virieux,-20.3428,57.7575,76.21,78,20,10.36,MU,2021-11-15 01:16:17
354,Tuatapere,-46.1333,167.6833,62.37,47,100,3.36,NZ,2021-11-15 01:16:18
355,Teguldet,57.3064,88.1667,26.38,95,100,8.19,RU,2021-11-15 01:16:18
356,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,75.97,87,100,1.54,BR,2021-11-15 01:16:19
357,Mandawar,29.5,78.1333,57.43,69,0,1.43,IN,2021-11-15 01:16:19
358,Hamilton,39.1834,-84.5333,36.88,82,90,3.0,US,2021-11-15 01:15:54
359,Kangaatsiaq,68.3065,-53.4641,14.38,87,100,5.77,GL,2021-11-15 01:16:20
360,Alcantara,-2.4089,-44.4147,82.6,85,100,7.49,BR,2021-11-15 01:16:20
361,Westport,41.1415,-73.3579,50.0,67,90,11.99,US,2021-11-15 01:11:30
362,San Ramon,37.7799,-121.978,68.18,78,1,9.22,US,2021-11-15 01:11:35
363,Lata,40.1629,-8.3327,52.81,62,0,3.24,PT,2021-11-15 01:16:21
364,Mankato,44.1636,-93.9994,29.68,85,90,5.75,US,2021-11-15 01:16:22
365,Viru,-8.4167,-78.75,61.9,77,59,4.18,PE,2021-11-15 01:17:22
366,Guangyuan,32.442,105.823,47.68,74,99,3.85,CN,2021-11-15 01:17:23
367,Vagay,57.9375,69.0217,11.01,88,8,5.39,RU,2021-11-15 01:17:23
368,Vestmanna,62.1564,-7.1664,45.52,81,75,13.8,FO,2021-11-15 01:17:23
369,Tuy Hoa,13.0833,109.3,75.78,96,100,6.73,VN,2021-11-15 01:17:24
370,Dakar,14.6937,-17.4441,77.88,76,61,12.37,SN,2021-11-15 01:17:24
371,Upington,-28.4478,21.2561,66.58,45,0,1.14,ZA,2021-11-15 01:17:25
372,Lewisporte,49.2499,-55.0482,46.11,93,96,7.23,CA,2021-11-15 01:16:14
373,Skjervoy,70.0311,20.9714,34.0,65,100,17.0,NO,2021-11-15 01:17:25
374,Bismarck,46.8083,-100.7837,41.86,83,90,6.91,US,2021-11-15 01:17:26
375,Hohhot,40.8106,111.6522,25.09,68,0,4.47,CN,2021-11-15 01:17:27
376,Tomatlan,19.9333,-105.25,74.57,81,10,0.36,MX,2021-11-15 01:17:27
377,Kautokeino,69.0125,23.0412,21.29,83,100,24.72,NO,2021-11-15 01:17:27
378,Shache,38.4167,77.2406,31.87,43,0,0.78,CN,2021-11-15 01:17:28
379,Gravdal,68.1214,13.5031,43.21,93,100,40.44,NO,2021-11-15 01:17:29
380,Ayan,56.45,138.1667,12.63,65,100,19.17,RU,2021-11-15 01:17:29
381,Alfredo Baquerizo Moreno,-1.9167,-79.5167,75.18,60,88,7.63,EC,2021-11-15 01:17:29
382,Mandali,33.7499,45.5541,65.28,31,100,8.3,IQ,2021-11-15 01:17:30
383,Aripuana,-9.1667,-60.6333,74.88,91,30,1.92,BR,2021-11-15 01:17:30
384,Kovdor,67.5662,30.4758,13.86,96,100,4.43,RU,2021-11-15 01:17:31
385,Laerdalsoyri,61.098,7.4816,32.94,78,100,6.76,NO,2021-11-15 01:17:32
386,Novyy Urengoy,66.0833,76.6333,-0.11,95,24,10.22,RU,2021-11-15 01:17:33
